iter	Logloss
0	0.6051935933
1	0.5514303823
2	0.5183648597
3	0.4921930466
4	0.4706528147
5	0.4512084239
6	0.4414768361
7	0.4334131605
8	0.4226250837
9	0.4127109732
10	0.4057183443
11	0.4038271386
12	0.3977047686
13	0.3937529295
14	0.3924129731
15	0.3910369711
16	0.3890159815
17	0.3864522214
18	0.3843079005
19	0.3815169762
20	0.378602403
21	0.3759252833
22	0.3748338342
23	0.3730759897
24	0.3722001032
25	0.3698405406
26	0.3685944588
27	0.3677261532
28	0.366909628
29	0.3652592747
30	0.3635642607
31	0.3626791674
32	0.3617950804
33	0.3607642627
34	0.3597913683
35	0.3578987542
36	0.3570811075
37	0.3555336829
38	0.3533541745
39	0.3525698991
40	0.3519875756
41	0.3516980404
42	0.3510577588
43	0.3506428124
44	0.3497878366
45	0.3481762474
46	0.3458829106
47	0.3433616528
48	0.3429722349
49	0.3406068676
50	0.3383535124
51	0.3364336257
52	0.3352594927
53	0.3341548438
54	0.3336236103
55	0.3324755542
56	0.3312712956
57	0.329370928
58	0.3272350546
59	0.3260558491
60	0.3248397757
61	0.3234796062
62	0.3222916182
63	0.3210925684
64	0.3188354446
65	0.3179123753
66	0.3155054461
67	0.3145395135
68	0.3131839199
69	0.3117973616
70	0.3103840336
71	0.3094300046
72	0.3077759873
73	0.3058406917
74	0.3055190545
75	0.3048922165
76	0.3044050495
77	0.3042439155
78	0.3035246781
79	0.3024787142
80	0.3020765106
81	0.3019968572
82	0.3017857067
83	0.3010222048
84	0.2995414671
85	0.2989323843
86	0.2983527685
87	0.2979872039
88	0.2964192967
89	0.2956669512
90	0.2951636331
91	0.2946738383
92	0.2933388318
93	0.2919672233
94	0.2906116867
95	0.2900199298
96	0.2897078239
97	0.2884002839
98	0.2882999726
99	0.2871100473
100	0.2858174314
101	0.2853649712
102	0.2847843875
103	0.2841674747
104	0.2828672371
105	0.282173762
106	0.2813369116
107	0.2807093449
108	0.2797600254
109	0.2786804966
110	0.2782333208
111	0.2774690397
112	0.276675636
113	0.2763746738
114	0.2753737739
115	0.2742954289
116	0.2733028508
117	0.2727197118
118	0.2720521117
119	0.2704428851
120	0.2696710259
121	0.2693217169
122	0.2686235789
123	0.2680363739
124	0.267889714
125	0.2673124261
126	0.2661872742
127	0.2659648088
128	0.2654189324
129	0.264930967
130	0.2640955395
131	0.2636287902
132	0.2631695237
133	0.2625759008
134	0.2614029726
135	0.261145963
136	0.2606014837
137	0.2600739198
138	0.2597390572
139	0.2590956546
140	0.2586645469
141	0.258425616
142	0.2582616335
143	0.2582262115
144	0.2578170606
145	0.256938095
146	0.2565849016
147	0.2562567698
148	0.2561744566
149	0.2558900824
