iter	Passed	Remaining
0	1	188
1	1	121
2	1	97
3	2	86
4	2	78
5	3	73
6	3	69
7	3	66
8	4	63
9	4	62
10	4	60
11	5	59
12	5	57
13	5	56
14	6	54
15	6	53
16	6	52
17	7	51
18	7	50
19	7	50
20	8	50
21	8	49
22	8	48
23	9	47
24	9	47
25	9	46
26	10	45
27	10	45
28	10	44
29	10	43
30	11	43
31	11	42
32	11	42
33	12	41
34	12	41
35	12	40
36	13	40
37	13	40
38	13	39
39	14	39
40	14	38
41	14	38
42	15	38
43	15	37
44	15	37
45	16	36
46	16	36
47	16	36
48	17	35
49	17	35
50	17	34
51	18	34
52	18	34
53	18	33
54	19	33
55	19	32
56	19	32
57	20	32
58	20	31
59	20	31
60	21	30
61	21	30
62	21	30
63	22	29
64	22	29
65	22	29
66	23	28
67	23	28
68	23	27
69	24	27
70	24	27
71	24	26
72	25	26
73	25	26
74	25	25
75	25	25
76	26	24
77	26	24
78	26	24
79	27	23
80	27	23
81	27	23
82	28	22
83	28	22
84	28	22
85	29	21
86	29	21
87	29	20
88	30	20
89	30	20
90	30	19
91	31	19
92	31	19
93	31	18
94	31	18
95	32	18
96	32	17
97	32	17
98	33	17
99	33	16
100	33	16
101	34	16
102	34	15
103	34	15
104	35	15
105	35	14
106	35	14
107	36	14
108	36	13
109	36	13
110	37	13
111	37	12
112	37	12
113	38	12
114	38	11
115	38	11
116	39	11
117	39	10
118	39	10
119	40	10
120	40	9
121	40	9
122	41	9
123	41	8
124	41	8
125	41	7
126	42	7
127	42	7
128	42	6
129	43	6
130	43	6
131	43	5
132	44	5
133	44	5
134	44	4
135	45	4
136	45	4
137	45	3
138	46	3
139	46	3
140	46	2
141	47	2
142	47	2
143	47	1
144	48	1
145	48	1
146	48	0
147	49	0
148	50	0
149	50	0
